0,1
6,2
6,2
13,4
13,4
13,4
16,8
16,8
16,8
16,8
16,8
113,8
113,1
123,3
123,3
123,3
129,4
129,4
133,5
133,5
136,6
136,6
139,7
139,7
142,8
142,8
146,9
146,9
149,10
149,10
152,11
152,11
155,12
155,12
159,13
159,13
162,14
162,14
165,15
165,15
169,16
169,16
172,17
172,17
175,18
175,18
178,19
178,19
182,20
182,20
185,21
185,21
252,21
255,1
255,1
259,1
262,1
285,1
352,1
355,1
359,1
452,1
459,2
459,2
465,3
465,3
559,3
565,1
565,2
665,2
672,2
672,2
679,3
679,3
682,4
682,4
685,5
685,5
689,6
689,6
692,7
692,7
695,8
695,8
698,9
698,9
702,10
702,10
705,11
705,11
789,11
795,2
795,2
802,4
802,4
802,4
895,4
902,2
902,2
1002,2
1102,1
1108,2
1108,2
1208,2
1208,1
1215,2
1218,3
1218,3
1222,4
1222,4
1225,5
1225,5
1318,5
1325,2
1325,2
